Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
2039,Kedron State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Clayfield,2012,1
371,Kedron State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Clayfield,2012,1
2046,Keebra Park State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Southport,2012,1
1960,Kelso State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Thuringowa,2012,1
2409,Kelvin Grove State College,Metropolitan,Metropolitan,Brisbane (C),State School,Combined,Brisbane Central,2012,1
1309,Kenilworth State Community College,North Coast,Rural,Sunshine Coast (R),State School,Primary,Nicklin,2012,1
1143,Kenmore South State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2012,1
2132,Kenmore State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Moggill,2012,1
923,Kenmore State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2012,1
868,Kennedy State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2012,1
710,Kentville State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2012,1
2095,Kepnock State High School,North Coast,Provincial City,Bundaberg (R),State High School,Secondary,Bundaberg,2012,1
670,Keppel Sands State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Keppel,2012,1
1707,Kia-Ora State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2012,1
2133,Kilcoy State High School,North Coast,Rural,Somerset (R),State High School,Secondary,Nanango,2012,1
679,Kilcoy State School,North Coast,Rural,Somerset (R),State School,Primary,Nanango,2012,1
787,Kilcummin State School,Central Queensland,Remote,Isaac (R),State School,Primary,Dalrymple,2012,1
168,Kilkivan State School,North Coast,Rural,Gympie (R),State School,Combined,Callide,2012,1
163,Killarney State School,Darling Downs South West,Rural,Southern Downs (R),State School,Combined,Southern Downs,2012,1
1937,Kimberley Park State School,South East,Metropolitan,Logan (C),State School,Primary,Springwood,2012,1
1534,Kin Kin State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Gympie,2012,1
1912,Kin Kora State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2012,1
753,Kindon State School,Darling Downs South West,Rural,Goondiwindi (R),State School,Primary,Southern Downs,2012,1
2044,Kingaroy State High School,Darling Downs South West,Rural,South Burnett (R),State High School,Secondary,Nanango,2012,1
995,Kingaroy State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2012,1
1274,Kingsthorpe State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Condamine,2012,1
2139,Kingston College,South East,Metropolitan,Logan (C),State High School,Secondary,Woodridge,2012,1
1348,Kingston State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2012,1
415,Kioma State School,Darling Downs South West,Remote,Goondiwindi (R),State School,Primary,Southern Downs,2012,1
616,Kippa-Ring State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Redcliffe,2012,1
2146,Kirwan State High School,North Queensland,Metropolitan,Townsville (C),State High School,Secondary,Thuringowa,2012,1
1862,Kirwan State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Thuringowa,2012,1
1078,Kogan State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2012,1
279,Kolan South State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2012,1
1780,Koumala State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2012,1
460,Kowanyama State School,Far North Queensland,Remote,Kowanyama (S),State School,Combined,Cook,2012,1
1878,Kruger State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2012,1
1472,Kulpi State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Nanango,2012,1
1968,Kuluin State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Buderim,2012,1
