Centre Code,Centre Name,DET Geographic Region,EQ Zone,Local Government Area,Centre Type,School Category,State Electorate,Collection Year,School Count
591,Abercorn State School,Central Queensland,Remote,North Burnett (R),State School,Primary,Callide,2008,1
1275,Abergowrie State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2008,1
25,Acacia Ridge State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2008,1
1983,Agnes Water State School,North Coast,Rural,Gladstone (R),State School,Primary,Burnett,2008,1
598,Airville State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
801,Aitkenvale State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Mundingburra,2008,1
2155,Albany Creek State High School,Metropolitan,Metropolitan,Moreton Bay (R),State High School,Secondary,Everton,2008,1
190,Albany Creek State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2008,1
1892,Albany Hills State School,Metropolitan,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2008,1
38,Albert State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2008,1
2017,Aldridge State High School,North Coast,Rural,Fraser Coast (R),State High School,Secondary,Maryborough,2008,1
1963,Alexandra Bay State School,Far North Queensland,Remote,Cairns (R),State School,Primary,Cook,2008,1
2175,Alexandra Hills State High School,South East,Metropolitan,Redland (C),State High School,Secondary,Capalaba,2008,1
405,Alexandra Hills State School,South East,Metropolitan,Redland (C),State School,Primary,Capalaba,2008,1
1866,Algester State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Algester,2008,1
155,Allenstown State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Rockhampton,2008,1
773,Alligator Creek State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2008,1
3,Allora State School,Darling Downs South West,Rural,Southern Downs (R),State School,Combined,Southern Downs,2008,1
430,Alloway State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2008,1
870,Aloomba State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2008,1
517,Alpha State School,Central Queensland,Remote,Barcaldine (R),State School,Combined,Gregory,2008,1
1719,Amamoor State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2008,1
115,Amberley State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2008,1
1415,Ambrose State School,Central Queensland,Rural,Gladstone (R),State School,Primary,Gladstone,2008,1
1629,Amiens State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
474,Anakie State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
1572,Andergrove State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2008,1
440,Annandale State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Mundingburra,2008,1
1294,Applethorpe State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
312,Aramac State School,Central Queensland,Remote,Barcaldine (R),State School,Combined,Gregory,2008,1
1266,Aratula State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
813,Arcadia Valley State School,Darling Downs South West,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
1997,Arundel State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Southport,2008,1
296,Ascot State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Clayfield,2008,1
186,Ashgrove State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Ashgrove,2008,1
1871,Ashmore State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Surfers Paradise,2008,1
512,Ashwell State School,Metropolitan,Rural,Ipswich (C),State School,Primary,Ipswich West,2008,1
1004,Aspley East State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Aspley,2008,1
3031,Aspley Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Aspley,2008,1
2076,Aspley State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Aspley,2008,1
610,Aspley State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Aspley,2008,1
2051,Atherton State High School,Far North Queensland,Rural,Tablelands (R),State High School,Secondary,Dalrymple,2008,1
789,Atherton State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2008,1
357,Augathella State School,Darling Downs South West,Remote,Murweh (S),State School,Primary,Warrego,2008,1
2078,Aviation High,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Clayfield,2008,1
1901,Avoca State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
572,Avondale State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2008,1
908,Ayr East State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
2008,Ayr State High School,North Queensland,Rural,Burdekin (S),State High School,Secondary,Burdekin,2008,1
451,Ayr State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
1466,Babinda State School,Far North Queensland,Rural,Cairns (R),State School,Combined,Mulgrave,2008,1
317,Back Plains State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
906,Bajool State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2008,1
1689,Balaclava State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Cairns,2008,1
4,Bald Hills State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Aspley,2008,1
1164,Ballandean State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
2043,Balmoral State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Bulimba,2008,1
1367,Bambaroo State School,North Queensland,Rural,Hinchinbrook (S),State School,Primary,Hinchinbrook,2008,1
521,Banana State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2008,1
1989,Banksia Beach State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pumicestone,2008,1
1605,Baralaba State School,Central Queensland,Rural,Banana (S),State School,Combined,Callide,2008,1
531,Barcaldine State School,Central Queensland,Remote,Barcaldine (R),State School,Combined,Gregory,2008,1
1041,Bardon State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Mount Coot-tha,2008,1
702,Bargara State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Burnett,2008,1
777,Barkly Highway State School,North Queensland,Remote,Mount Isa (C),State School,Primary,Mount Isa,2008,1
3056,Barrett Adolescent Centre Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Yeerongpilly,2008,1
1730,Bartle Frere State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2008,1
387,Bauhinia State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
966,Bauple State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2008,1
1961,Beachmere State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pumicestone,2008,1
1672,Beaconsfield State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Mackay,2008,1
2083,Beaudesert State High School,South East,Rural,Scenic Rim (R),State High School,Secondary,Beaudesert,2008,1
158,Beaudesert State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
1019,Bedourie State School,Central Queensland,Remote,Diamantina (S),State School,Primary,Mount Isa,2008,1
681,Beechmont State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
3051,Beenleigh Special School,South East,Metropolitan,Logan (C),Special School,Special,Albert,2008,1
2084,Beenleigh State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Waterford,2008,1
6,Beenleigh State School,South East,Metropolitan,Logan (C),State School,Primary,Waterford,2008,1
1598,Beerburrum State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2008,1
2109,Beerwah State High School,North Coast,Rural,Sunshine Coast (R),State High School,Secondary,Caloundra,2008,1
569,Beerwah State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Caloundra,2008,1
187,Begonia State School,Darling Downs South West,Remote,Maranoa (R),State School,Primary,Warrego,2008,1
509,Belgian Gardens State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Townsville,2008,1
781,Bell State School,Darling Downs South West,Rural,Western Downs (R),State School,Combined,Condamine,2008,1
1768,Bellenden Ker State School,Far North Queensland,Rural,Cairns (R),State School,Primary,Mulgrave,2008,1
1925,Bellevue Park State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Surfers Paradise,2008,1
226,Belmont State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2008,1
393,Benaraby State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2008,1
1631,Benarkin State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2008,1
2150,Benowa State High School,South East,Metropolitan,Gold Coast (C),State High School,Secondary,Surfers Paradise,2008,1
481,Benowa State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Surfers Paradise,2008,1
452,Bentley Park College,Far North Queensland,Metropolitan,Cairns (R),State School,Combined,Mulgrave,2008,1
1867,Berrinba East State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2008,1
1546,Berserker Street State School,Central Queensland,Provincial City,Rockhampton (R),State School,Primary,Rockhampton,2008,1
996,Biboohra State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Cook,2008,1
1663,Biddeston State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
666,Biggenden State School,Central Queensland,Rural,North Burnett (R),State School,Combined,Callide,2008,1
65,Biggera Waters State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Broadwater,2008,1
2085,Biloela State High School,Central Queensland,Rural,Banana (S),State High School,Secondary,Callide,2008,1
1822,Biloela State School,Central Queensland,Rural,Banana (S),State School,Primary,Callide,2008,1
1397,Binjour Plateau State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2008,1
1679,Birdsville State School,Central Queensland,Remote,Diamantina (S),State School,Primary,Mount Isa,2008,1
1915,Birkdale South State School,South East,Metropolitan,Redland (C),State School,Primary,Capalaba,2008,1
1545,Birkdale State School,South East,Metropolitan,Redland (C),State School,Primary,Capalaba,2008,1
299,Blackall State School,Central Queensland,Remote,Blackall Tambo (R),State School,Combined,Gregory,2008,1
739,Blackbutt State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2008,1
508,Blackstone State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2008,1
1891,Blackwater North State School,Central Queensland,Rural,Central Highlands (R),State School,Primary,Gregory,2008,1
2134,Blackwater State High School,Central Queensland,Rural,Central Highlands (R),State High School,Secondary,Gregory,2008,1
396,Blackwater State School,Central Queensland,Rural,Central Highlands (R),State School,Primary,Gregory,2008,1
1565,Blair State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2008,1
316,Blenheim State School,Darling Downs South West,Rural,Lockyer Valley (R),State School,Primary,Lockyer,2008,1
952,Bli Bli State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Nicklin,2008,1
1173,Bloomfield River State School,Far North Queensland,Remote,Cook (S),State School,Primary,Cook,2008,1
981,Bloomsbury State School,Central Queensland,Remote,Mackay (R),State School,Primary,Whitsunday,2008,1
612,Bluewater State School,North Queensland,Rural,Townsville (C),State School,Primary,Hinchinbrook,2008,1
344,Bluff State School,Central Queensland,Rural,Central Highlands (R),State School,Primary,Gregory,2008,1
1299,Bohlevale State School,North Queensland,Metropolitan,Townsville (C),State School,Primary,Hinchinbrook,2008,1
425,Bollon State School,Darling Downs South West,Remote,Balonne (S),State School,Primary,Warrego,2008,1
2105,Boonah State High School,South East,Rural,Scenic Rim (R),State High School,Secondary,Beaudesert,2008,1
333,Boonah State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
1603,Boondall State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Nudgee,2008,1
1542,Booyal Central State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2008,1
1981,Boronia Heights State School,South East,Metropolitan,Logan (C),State School,Primary,Algester,2008,1
899,Bororen State School,Central Queensland,Rural,Gladstone (R),State School,Primary,Burnett,2008,1
57,Bouldercombe State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Mirani,2008,1
595,Boulia State School,North Queensland,Remote,Boulia (S),State School,Primary,Mount Isa,2008,1
2065,Bowen State High School,North Queensland,Rural,Whitsunday (R),State High School,Secondary,Burdekin,2008,1
10,Bowen State School,North Queensland,Rural,Whitsunday (R),State School,Primary,Burdekin,2008,1
815,Bowenville State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
1191,Boyne Island State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2008,1
1465,Boynewood State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2008,1
2118,Bracken Ridge State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Sandgate,2008,1
772,Bracken Ridge State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sandgate,2008,1
466,Brandon State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
1066,Branyan Road State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
571,Brassall State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2008,1
2173,Bray Park State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Pine Rivers,2008,1
339,Bray Park State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pine Rivers,2008,1
2050,Bremer State High School,Metropolitan,Metropolitan,Ipswich (C),State High School,Secondary,Ipswich,2008,1
2181,Bribie Island State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Pumicestone,2008,1
540,Bribie Island State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pumicestone,2008,1
1133,Brigalow State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2008,1
1669,Brighton State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Sandgate,2008,1
2104,Wynnum North State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Lytton,2008,1
207,Brisbane Central State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Brisbane Central,2008,1
3605,Brisbane School of Distance Education,Metropolitan,Rural,Brisbane (C),School of Distance Education,Combined,Greenslopes,2008,1
2003,Brisbane State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,South Brisbane,2008,1
2294,Brisbane Youth Education and Training Centre,Metropolitan,Metropolitan,Brisbane (C),Educational Unit,Combined,Inala,2008,1
1381,Broadbeach State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mermaid Beach,2008,1
1071,Broadwater State School,Darling Downs South West,Rural,Southern Downs (R),State School,Primary,Southern Downs,2008,1
16,Brookfield State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2008,1
311,Brookstead State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
1035,Brooweena State School,North Coast,Rural,Fraser Coast (R),State School,Primary,Maryborough,2008,1
2164,Browns Plains State High School,South East,Metropolitan,Logan (C),State High School,Secondary,Logan,2008,1
1922,Browns Plains State School,South East,Metropolitan,Logan (C),State School,Primary,Logan,2008,1
1939,Bucasia State School,Central Queensland,Provincial City,Mackay (R),State School,Primary,Whitsunday,2008,1
1888,Buddina State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Kawana,2008,1
223,Buderim Mountain State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Buderim,2008,1
1124,Builyan State School,Central Queensland,Rural,Gladstone (R),State School,Primary,Gladstone,2008,1
17,Bulimba State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2008,1
962,Bullyard State School,North Coast,Rural,Bundaberg (R),State School,Primary,Callide,2008,1
18,Bundaberg Central State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
497,Bundaberg East State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
2019,Bundaberg North State High School,North Coast,Provincial City,Bundaberg (R),State High School,Secondary,Bundaberg,2008,1
161,Bundaberg North State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
637,Bundaberg South State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
3029,Bundaberg Special School,North Coast,Provincial City,Bundaberg (R),Special School,Special,Bundaberg,2008,1
2004,Bundaberg State High School,North Coast,Provincial City,Bundaberg (R),State High School,Secondary,Bundaberg,2008,1
1836,Bundaberg West State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Bundaberg,2008,1
19,Bundamba State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2008,1
2130,Bundamba State Secondary College,Metropolitan,Metropolitan,Ipswich (C),State High School,Secondary,Bundamba,2008,1
1508,Bungunya State School,Darling Downs South West,Remote,Goondiwindi (R),State School,Primary,Southern Downs,2008,1
853,Bunker's Hill State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
894,Buranda State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,South Brisbane,2008,1
3003,Burdekin School,North Queensland,Rural,Burdekin (S),Special School,Special,Burdekin,2008,1
530,Burketown State School,North Queensland,Remote,Burke (S),State School,Primary,Mount Isa,2008,1
1568,Burleigh Heads State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Burleigh,2008,1
319,Burnett Heads State School,North Coast,Provincial City,Bundaberg (R),State School,Primary,Burnett,2008,1
2089,Burnett State College,Central Queensland,Rural,North Burnett (R),State High School,Secondary,Callide,2008,1
2145,Burnside State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Nicklin,2008,1
1873,Burnside State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Nicklin,2008,1
5553,Burpengary Meadows State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2008,1
601,Burpengary State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Morayfield,2008,1
1129,Burra Burri State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2008,1
1966,Burrowes State School,South East,Metropolitan,Logan (C),State School,Primary,Woodridge,2008,1
1427,Butchers Creek State School,Far North Queensland,Rural,Tablelands (R),State School,Primary,Dalrymple,2008,1
379,Bwgcolman Community School,North Queensland,Remote,Palm Island (S),Community School,Combined,Townsville,2008,1
1318,Byfield State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Keppel,2008,1
1047,Bymount East State School,Darling Downs South West,Remote,Maranoa (R),State School,Primary,Warrego,2008,1
1903,Caboolture East State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pumicestone,2008,1
3045,Caboolture Special School,North Coast,Metropolitan,Moreton Bay (R),Special School,Special,Morayfield,2008,1
2066,Caboolture State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Pumicestone,2008,1
369,Caboolture State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Pumicestone,2008,1
3601,Cairns School of Distance Education,Far North Queensland,Rural,Cairns (R),School of Distance Education,Combined,Cairns,2008,1
2005,Cairns State High School,Far North Queensland,Metropolitan,Cairns (R),State High School,Secondary,Cairns,2008,1
1522,Cairns West State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Cairns,2008,1
1699,Calamvale Community College,Metropolitan,Metropolitan,Brisbane (C),State School,Combined,Stretton,2008,1
3055,Calamvale Special School,Metropolitan,Metropolitan,Brisbane (C),Special School,Special,Stretton,2008,1
1550,Calen District State College,Central Queensland,Remote,Mackay (R),State School,Combined,Whitsunday,2008,1
20,Calliope State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2008,1
2116,Caloundra State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Caloundra,2008,1
859,Caloundra State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Caloundra,2008,1
196,Cambooya State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Condamine,2008,1
483,Cameron Downs State School,North Queensland,Remote,Flinders (S),State School,Primary,Mount Isa,2008,1
352,Camira State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Inala,2008,1
714,Camooweal State School,North Queensland,Remote,Mount Isa (C),State School,Primary,Mount Isa,2008,1
1854,Camp Hill State Infants and Primary School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2008,1
1967,Caningeraba State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Burleigh,2008,1
1476,Cannon Hill State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2008,1
589,Cannonvale State School,North Queensland,Rural,Whitsunday (R),State School,Primary,Whitsunday,2008,1
566,Canungra State School,South East,Rural,Scenic Rim (R),State School,Primary,Beaudesert,2008,1
5534,Capalaba State College,South East,Metropolitan,Redland (C),State School,Combined,Capalaba,2008,1
2182,Capella State High School,Central Queensland,Remote,Central Highlands (R),State High School,Secondary,Gregory,2008,1
410,Capella State School,Central Queensland,Remote,Central Highlands (R),State School,Primary,Gregory,2008,1
3612,Capricornia (Emerald Campus) School of Distance Education,Central Queensland,Rural,Central Highlands (R),School of Distance Education,Combined,Gregory,2008,1
927,Caravonica State School,Far North Queensland,Metropolitan,Cairns (R),State School,Primary,Barron River,2008,1
278,Carbrook State School,South East,Metropolitan,Logan (C),State School,Primary,Redlands,2008,1
136,Cardwell State School,Far North Queensland,Rural,Cassowary Coast (R),State School,Primary,Hinchinbrook,2008,1
1552,Carina State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2008,1
1806,Carmila State School,Central Queensland,Remote,Isaac (R),State School,Primary,Mirani,2008,1
1044,Carole Park State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Inala,2008,1
2025,Cavendish Road State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Greenslopes,2008,1
135,Cawarral State School,Central Queensland,Rural,Rockhampton (R),State School,Primary,Keppel,2008,1
734,Cecil Plains State School,Darling Downs South West,Rural,Toowoomba (R),State School,Combined,Southern Downs,2008,1
160,Cedar Creek State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Albert,2008,1
2121,Centenary Heights State High School,Darling Downs South West,Provincial City,Toowoomba (R),State High School,Secondary,Toowoomba South,2008,1
1668,Centenary State High School,Metropolitan,Metropolitan,Brisbane (C),State High School,Secondary,Mount Ommaney,2008,1
2282,Chancellor State College,North Coast,Metropolitan,Sunshine Coast (R),State School,Combined,Kawana,2008,1
1872,Chapel Hill State School,Metropolitan,Metropolitan,Brisbane (C),State School,Primary,Moggill,2008,1
3602,Charleville School of Distance Education,Darling Downs South West,Remote,Murweh (S),School of Distance Education,Combined,Warrego,2008,1
2068,Charleville State High School,Darling Downs South West,Remote,Murweh (S),State High School,Secondary,Warrego,2008,1
185,Charleville State School,Darling Downs South West,Remote,Murweh (S),State School,Primary,Warrego,2008,1
823,Charlton State School,Darling Downs South West,Provincial City,Toowoomba (R),State School,Primary,Condamine,2008,1
215,Charters Towers Central State School,North Queensland,Rural,Charters Towers (R),State School,Primary,Dalrymple,2008,1
3610,Charters Towers School of Distance Education,North Queensland,Rural,Charters Towers (R),School of Distance Education,Combined,Dalrymple,2008,1
2006,Charters Towers State High School,North Queensland,Rural,Charters Towers (R),State High School,Secondary,Dalrymple,2008,1
1924,Chatswood Hills State School,South East,Metropolitan,Logan (C),State School,Primary,Springwood,2008,1
915,Chatsworth State School,North Coast,Rural,Gympie (R),State School,Primary,Gympie,2008,1
677,Chelona State School,Central Queensland,Rural,Mackay (R),State School,Primary,Mirani,2008,1
989,Cherbourg State School,Darling Downs South West,Rural,Cherbourg (S),State School,Primary,Callide,2008,1
1722,Chevallum State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2008,1
568,Childers State School,North Coast,Rural,Bundaberg (R),State School,Primary,Burnett,2008,1
866,Chillagoe State School,Far North Queensland,Remote,Tablelands (R),State School,Primary,Cook,2008,1
2087,Chinchilla State High School,Darling Downs South West,Rural,Western Downs (R),State High School,Secondary,Warrego,2008,1
244,Chinchilla State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2008,1
1789,Churchill State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2008,1
171,Clare State School,North Queensland,Rural,Burdekin (S),State School,Primary,Burdekin,2008,1
3066,Claremont Special School,Metropolitan,Metropolitan,Ipswich (C),Special School,Special,Ipswich,2008,1
1732,Clarendon State School,Metropolitan,Rural,Somerset (R),State School,Primary,Ipswich West,2008,1
606,Clarke Creek State School,Central Queensland,Remote,Isaac (R),State School,Primary,Mirani,2008,1
2185,Clermont State High School,Central Queensland,Remote,Isaac (R),State High School,Secondary,Gregory,2008,1
21,Clermont State School,Central Queensland,Remote,Isaac (R),State School,Primary,Gregory,2008,1
2070,Cleveland District State High School,South East,Metropolitan,Redland (C),State High School,Secondary,Cleveland,2008,1
3160,Cleveland Education and Training Centre,North Queensland,Metropolitan,Townsville (C),Educational Unit,Combined,Townsville,2008,1
22,Cleveland State School,South East,Metropolitan,Redland (C),State School,Primary,Cleveland,2008,1
3087,Clifford Park Special School,Darling Downs South West,Provincial City,Toowoomba (R),Special School,Special,Toowoomba South,2008,1
2111,Clifton State High School,Darling Downs South West,Rural,Toowoomba (R),State High School,Secondary,Condamine,2008,1
687,Clifton State School,Darling Downs South West,Rural,Toowoomba (R),State School,Primary,Condamine,2008,1
172,Clinton State School,Central Queensland,Provincial City,Gladstone (R),State School,Primary,Gladstone,2008,1
411,Cloncurry State School,North Queensland,Remote,Cloncurry (S),State School,Combined,Mount Isa,2008,1
2091,Clontarf Beach State High School,North Coast,Metropolitan,Moreton Bay (R),State High School,Secondary,Redcliffe,2008,1
162,Clontarf Beach State School,North Coast,Metropolitan,Moreton Bay (R),State School,Primary,Redcliffe,2008,1
2345,Clover Hill State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Mudgeeraba,2008,1
1254,Cloyna State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Callide,2008,1
1225,Coalstoun Lakes State School,Central Queensland,Rural,North Burnett (R),State School,Primary,Callide,2008,1
8009,Cape York Aboriginal Australian Academy,Far North Queensland,Remote,Cook (S),State School,Combined,Cairns,2012,1
1956,Collingwood Park State School,Metropolitan,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2008,1
2171,Collinsville State High School,North Queensland,Remote,Whitsunday (R),State High School,Secondary,Burdekin,2008,1
1691,Collinsville State School,North Queensland,Remote,Whitsunday (R),State School,Primary,Burdekin,2008,1
173,Comet State School,Central Queensland,Rural,Central Highlands (R),State School,Primary,Gregory,2008,1
24,Condamine State School,Darling Downs South West,Rural,Western Downs (R),State School,Primary,Warrego,2008,1
439,Coningsby State School,Central Queensland,Rural,Mackay (R),State School,Primary,Whitsunday,2008,1
1352,Conondale State School,North Coast,Rural,Sunshine Coast (R),State School,Primary,Glass House,2008,1
177,Cooktown State School,Far North Queensland,Remote,Cook (S),State School,Combined,Cook,2008,1
638,Coolabunia State School,Darling Downs South West,Rural,South Burnett (R),State School,Primary,Nanango,2008,1
1630,Coolangatta State School,South East,Metropolitan,Gold Coast (C),State School,Primary,Currumbin,2008,1
1927,Coolnwynpin State School,South East,Metropolitan,Redland (C),State School,Primary,Capalaba,2008,1
2165,Coolum State High School,North Coast,Metropolitan,Sunshine Coast (R),State High School,Secondary,Noosa,2008,1
1571,Coolum State School,North Coast,Metropolitan,Sunshine Coast (R),State School,Primary,Maroochydore,2008,1
